Message,ScamLabel
Final warning You need to act fast to claim your prize. Thanks for your purchase! Your receipt is attached for service.,1
Claim your prize! Western Union to avoid losing access to your account.,1
Risk-free investment from confirm your card number: Act immediately.,1
Double your money! final warning to avoid losing access to your account.,1
Congratulations you won: guaranteed returns now to secure your funds.,1
Suspicious login detected: your account will be blocked now to secure your funds.,1
Tech support from microsoft You need to double your money to claim your prize. Please confirm your subscription to Monday.,1
Limited time: act fast now to secure your funds.,1
Act fast You need to Social Security number to claim your prize. Please confirm your subscription to Monday.,1
Cryptocurrency wallet You need to your account is compromised to claim your prize.,1
Risk-free investment You need to final warning to claim your prize.,1
Alert: Your account is compromised. Please limited time to resolve this issue.,1
Please confirm your subscription to service. gift cards,0
Claim your prize! bank security team to avoid losing access to your account.,1
Suspicious login detected from verify identity here: Act immediately.,1
Alert: Limited time. Please double your money to resolve this issue. Thanks for your purchase! Your receipt is attached for Monday.,1
Send payment You need to risk-free investment to claim your prize.,1
Your account is compromised! guaranteed returns to avoid losing access to your account.,1
Guaranteed returns: act fast now to secure your funds.,1
Transfer money: Western Union now to secure your funds.,1
Final warning! bank security team to avoid losing access to your account.,1
Your order #Monday has shipped and will arrive by Monday. keep this secret,0
Western union: suspicious login detected now to secure your funds.,1
Tax department! gift cards to avoid losing access to your account.,1
Join our newsletter event this weekend! bank security team,0
Gift cards! keep this secret to avoid losing access to your account.,1
Provide your password You need to tax department to claim your prize.,1
Keep this secret You need to cryptocurrency wallet to claim your prize.,1
Alert: Social security number. Please tech support from Microsoft to resolve this issue.,1
Reminder: Your appointment is scheduled for newsletter. limited time,0
Transfer money from bank account details: Act immediately.,1
Your account will be blocked from final warning: Act immediately.,1
Congratulations you won: tax department now to secure your funds.,1
Cryptocurrency wallet from immediately: Act immediately.,1
Alert: Wire funds. Please your account will be blocked to resolve this issue.,1
Your order #service has shipped and will arrive by Monday. immediately,0
Western union from your account will be blocked: Act immediately.,1
Risk-free investment! transfer money to avoid losing access to your account. Please confirm your subscription to Monday.,1
Transfer money from Social Security number: Act immediately.,1
Social security number! tax department to avoid losing access to your account.,1
Alert: Tech support from microsoft. Please double your money to resolve this issue.,1
Please confirm your subscription to next week. bank account details,0
Alert: Western union. Please guaranteed returns to resolve this issue.,1
Tax department You need to limited time to claim your prize.,1
Please confirm your subscription to service. keep this secret,0
Tech support from microsoft You need to share your OTP to claim your prize.,1
Guaranteed returns You need to Social Security number to claim your prize.,1
Your account is compromised You need to Western Union to claim your prize.,1
Thanks for your purchase! Your receipt is attached for next week. transfer money,0
Confirm your card number You need to suspicious login detected to claim your prize.,1
Share your otp from wire funds: Act immediately.,1
Alert: Lottery. Please tech support from Microsoft to resolve this issue.,1
Alert: Cryptocurrency wallet. Please send payment to resolve this issue.,1
Send payment: share your OTP now to secure your funds.,1
Limited time You need to double your money to claim your prize. Thanks for your purchase! Your receipt is attached for Monday.,1
Wire funds You need to guaranteed returns to claim your prize.,1
Final warning: share your OTP now to secure your funds.,1
Your account is compromised from share your OTP: Act immediately. Thanks for your purchase! Your receipt is attached for service.,1
Confirm your card number from your computer is hacked: Act immediately.,1
Act fast! lottery to avoid losing access to your account. Thanks for your purchase! Your receipt is attached for Monday.,1
Act fast! lottery to avoid losing access to your account.,1
Join our newsletter event this weekend! final warning,0
Join our Friday event this weekend! provide your password,0
Tech support from microsoft: your computer is hacked now to secure your funds.,1
Send payment from immediately: Act immediately.,1
Suspicious login detected You need to final warning to claim your prize.,1
Tax department: bank security team now to secure your funds.,1
Guaranteed returns You need to your account will be blocked to claim your prize.,1
Your account is compromised from immediately: Act immediately.,1
Double your money! send payment to avoid losing access to your account.,1
Verify identity here! keep this secret to avoid losing access to your account.,1
Confirm your card number from limited time: Act immediately.,1
Limited time from tax department: Act immediately.,1
Send payment: wire funds now to secure your funds.,1
Claim your prize! keep this secret to avoid losing access to your account.,1
Alert: Lottery. Please your account is compromised to resolve this issue.,1
Your account will be blocked You need to confirm your card number to claim your prize. Reminder: Your appointment is scheduled for service.,1
Wire funds: double your money now to secure your funds.,1
Alert: Guaranteed returns. Please your account will be blocked to resolve this issue.,1
Social security number from Social Security number: Act immediately.,1
Alert: Western union. Please Social Security number to resolve this issue.,1
Keep this secret You need to keep this secret to claim your prize.,1
Alert: Cryptocurrency wallet. Please risk-free investment to resolve this issue.,1
Western union from suspicious login detected: Act immediately.,1
Your computer is hacked! Western Union to avoid losing access to your account.,1
Social security number! immediately to avoid losing access to your account.,1
Bank account details! verify identity here to avoid losing access to your account.,1
Double your money You need to urgent to claim your prize.,1
Western union! guaranteed returns to avoid losing access to your account.,1
Alert: Urgent. Please transfer money to resolve this issue.,1
Your computer is hacked! gift cards to avoid losing access to your account.,1
Social security number! congratulations you won to avoid losing access to your account.,1
Gift cards You need to immediately to claim your prize.,1
Double your money! immediately to avoid losing access to your account.,1
Provide your password from Western Union: Act immediately.,1
Alert: Tax department. Please tax department to resolve this issue.,1
Alert: Your account is compromised. Please immediately to resolve this issue.,1
Lottery! suspicious login detected to avoid losing access to your account.,1
Reminder: Your appointment is scheduled for Monday. tax department,0
Act fast You need to share your OTP to claim your prize.,1
Congratulations you won You need to tech support from Microsoft to claim your prize.,1
Western union: tech support from Microsoft now to secure your funds.,1
Wire funds from bank account details: Act immediately.,1
Double your money You need to lottery to claim your prize.,1
Share your otp: final warning now to secure your funds.,1
Send payment You need to immediately to claim your prize.,1
Transfer money You need to share your OTP to claim your prize. Please confirm your subscription to Monday.,1
Thanks for your purchase! Your receipt is attached for Friday. verify identity here,0
Alert: Limited time. Please cryptocurrency wallet to resolve this issue.,1
Send payment from act fast: Act immediately.,1
Immediately You need to your account is compromised to claim your prize.,1
Alert: Urgent. Please bank security team to resolve this issue.,1
Tech support from microsoft You need to bank security team to claim your prize.,1
Join our next week event this weekend! final warning,0
Cryptocurrency wallet You need to confirm your card number to claim your prize.,1
Act fast You need to Western Union to claim your prize.,1
Tech support from microsoft! your account is compromised to avoid losing access to your account.,1
Transfer money from provide your password: Act immediately.,1
Send payment You need to your account is compromised to claim your prize.,1
Double your money from tax department: Act immediately.,1
Final warning: tech support from Microsoft now to secure your funds.,1
Lottery You need to tax department to claim your prize.,1
Western union! immediately to avoid losing access to your account.,1
Claim your prize You need to bank account details to claim your prize.,1
Thanks for your purchase! Your receipt is attached for next week. wire funds,0
Social security number You need to wire funds to claim your prize. Thanks for your purchase! Your receipt is attached for Monday.,1
Guaranteed returns: tax department now to secure your funds.,1
Guaranteed returns from urgent: Act immediately.,1
Alert: Congratulations you won. Please bank security team to resolve this issue.,1
Urgent You need to tech support from Microsoft to claim your prize.,1
Bank security team You need to final warning to claim your prize.,1
Keep this secret You need to Western Union to claim your prize.,1
Social security number! transfer money to avoid losing access to your account.,1
Social security number: claim your prize now to secure your funds.,1
Reminder: Your appointment is scheduled for next week. congratulations you won,0
Alert: Act fast. Please immediately to resolve this issue.,1
Limited time from transfer money: Act immediately.,1
Alert: Act fast. Please your computer is hacked to resolve this issue.,1
Alert: Claim your prize. Please guaranteed returns to resolve this issue.,1
Your order #Monday has shipped and will arrive by Monday. immediately,0
Please confirm your subscription to Friday. Social Security number,0
Reminder: Your appointment is scheduled for Friday. double your money,0
Risk-free investment: confirm your card number now to secure your funds.,1
Risk-free investment: bank account details now to secure your funds.,1
Urgent! urgent to avoid losing access to your account. Reminder: Your appointment is scheduled for Monday.,1
Join our Monday event this weekend! gift cards,0
Alert: Final warning. Please claim your prize to resolve this issue.,1
Cryptocurrency wallet You need to guaranteed returns to claim your prize.,1
Alert: Provide your password. Please Western Union to resolve this issue.,1
Alert: Western union. Please Western Union to resolve this issue.,1
Western union: double your money now to secure your funds.,1
Alert: Bank account details. Please risk-free investment to resolve this issue. Reminder: Your appointment is scheduled for Monday.,1
Immediately You need to Social Security number to claim your prize. Reminder: Your appointment is scheduled for service.,1
Please confirm your subscription to newsletter. transfer money,0
Act fast: cryptocurrency wallet now to secure your funds.,1
Limited time You need to limited time to claim your prize.,1
Join our newsletter event this weekend! confirm your card number,0
Lottery from confirm your card number: Act immediately.,1
Alert: Lottery. Please Social Security number to resolve this issue. Please confirm your subscription to Monday.,1
Final warning! act fast to avoid losing access to your account.,1
Keep this secret: gift cards now to secure your funds. Reminder: Your appointment is scheduled for service.,1
Gift cards: provide your password now to secure your funds.,1
Limited time: keep this secret now to secure your funds.,1
Tech support from microsoft from send payment: Act immediately.,1
Your order #Friday has shipped and will arrive by Monday. claim your prize,0
Alert: Urgent. Please limited time to resolve this issue.,1
Thanks for your purchase! Your receipt is attached for service. limited time,0
Urgent! transfer money to avoid losing access to your account.,1
Your account will be blocked from tech support from Microsoft: Act immediately.,1
Wire funds: Western Union now to secure your funds.,1
Your computer is hacked from send payment: Act immediately. Please confirm your subscription to service.,1
Transfer money from suspicious login detected: Act immediately.,1
Suspicious login detected: urgent now to secure your funds.,1
Join our next week event this weekend! claim your prize,0
Alert: Bank account details. Please double your money to resolve this issue.,1
Western union! bank account details to avoid losing access to your account.,1
Provide your password: keep this secret now to secure your funds. Join our service event this weekend!,1
Alert: Gift cards. Please congratulations you won to resolve this issue.,1
Verify identity here! guaranteed returns to avoid losing access to your account.,1
Keep this secret: claim your prize now to secure your funds.,1
Limited time: tax department now to secure your funds.,1
Share your otp: Western Union now to secure your funds.,1
Bank account details! gift cards to avoid losing access to your account.,1
Alert: Congratulations you won. Please cryptocurrency wallet to resolve this issue.,1
Send payment You need to guaranteed returns to claim your prize.,1
Your account will be blocked: lottery now to secure your funds.,1
Act fast from your account is compromised: Act immediately.,1
Bank security team! final warning to avoid losing access to your account. Join our service event this weekend!,1
Urgent! provide your password to avoid losing access to your account. Please confirm your subscription to Monday.,1
Suspicious login detected: provide your password now to secure your funds.,1
Provide your password from provide your password: Act immediately.,1
Cryptocurrency wallet! gift cards to avoid losing access to your account.,1
Western union: bank security team now to secure your funds.,1
Bank security team! wire funds to avoid losing access to your account.,1
Keep this secret: immediately now to secure your funds.,1
Alert: Congratulations you won. Please wire funds to resolve this issue. Reminder: Your appointment is scheduled for service.,1
Risk-free investment from urgent: Act immediately.,1
Gift cards! send payment to avoid losing access to your account. Thanks for your purchase! Your receipt is attached for service.,1
Your account will be blocked: verify identity here now to secure your funds.,1
Your account is compromised You need to your computer is hacked to claim your prize.,1
Alert: Double your money. Please tech support from Microsoft to resolve this issue.,1
Alert: Provide your password. Please cryptocurrency wallet to resolve this issue.,1
Lottery You need to suspicious login detected to claim your prize.,1
Limited time! double your money to avoid losing access to your account.,1
Please confirm your subscription to Monday. transfer money,0
Join our Friday event this weekend! guaranteed returns,0
Your account is compromised from transfer money: Act immediately.,1
Confirm your card number! immediately to avoid losing access to your account.,1
Send payment! tech support from Microsoft to avoid losing access to your account.,1
Alert: Share your otp. Please risk-free investment to resolve this issue.,1
Verify identity here from act fast: Act immediately.,1
Send payment! provide your password to avoid losing access to your account.,1
Alert: Congratulations you won. Please Social Security number to resolve this issue. Thanks for your purchase! Your receipt is attached for service.,1
Your computer is hacked: Western Union now to secure your funds.,1
Congratulations you won You need to bank account details to claim your prize.,1
Alert: Tech support from microsoft. Please your account is compromised to resolve this issue.,1
Your computer is hacked You need to suspicious login detected to claim your prize.,1
Congratulations you won You need to share your OTP to claim your prize.,1
Provide your password! urgent to avoid losing access to your account.,1
Alert: Your computer is hacked. Please your account is compromised to resolve this issue.,1
Gift cards: verify identity here now to secure your funds.,1
Alert: Verify identity here. Please claim your prize to resolve this issue.,1
Social security number from transfer money: Act immediately.,1
Alert: Risk-free investment. Please final warning to resolve this issue.,1
Limited time from lottery: Act immediately.,1
Share your otp from send payment: Act immediately.,1
Alert: Cryptocurrency wallet. Please immediately to resolve this issue.,1
Alert: Congratulations you won. Please Western Union to resolve this issue.,1
Limited time: risk-free investment now to secure your funds.,1
Wire funds: wire funds now to secure your funds.,1
Western union! Social Security number to avoid losing access to your account.,1
Cryptocurrency wallet You need to gift cards to claim your prize.,1
Double your money from claim your prize: Act immediately. Please confirm your subscription to Monday.,1
Social security number from guaranteed returns: Act immediately.,1
Social security number from verify identity here: Act immediately.,1
Alert: Bank security team. Please send payment to resolve this issue.,1
Suspicious login detected: gift cards now to secure your funds. Thanks for your purchase! Your receipt is attached for service.,1
Claim your prize You need to claim your prize to claim your prize. Reminder: Your appointment is scheduled for service.,1
Transfer money: keep this secret now to secure your funds.,1
Limited time You need to your account will be blocked to claim your prize.,1
Provide your password from your account will be blocked: Act immediately.,1
Risk-free investment! immediately to avoid losing access to your account.,1
Thanks for your purchase! Your receipt is attached for service. provide your password,0
Cryptocurrency wallet! tax department to avoid losing access to your account.,1
Alert: Risk-free investment. Please bank account details to resolve this issue.,1
Reminder: Your appointment is scheduled for next week. share your OTP,0
Final warning: provide your password now to secure your funds.,1
Confirm your card number! limited time to avoid losing access to your account.,1
Social security number from bank security team: Act immediately.,1
Your account is compromised! lottery to avoid losing access to your account.,1
Wire funds You need to bank security team to claim your prize.,1
Gift cards: claim your prize now to secure your funds.,1
Double your money! share your OTP to avoid losing access to your account.,1
Transfer money You need to send payment to claim your prize.,1
Alert: Tech support from microsoft. Please confirm your card number to resolve this issue.,1
Limited time! Western Union to avoid losing access to your account. Thanks for your purchase! Your receipt is attached for service.,1
Claim your prize from wire funds: Act immediately.,1
Confirm your card number You need to limited time to claim your prize.,1
Tax department from Western Union: Act immediately.,1
Risk-free investment You need to share your OTP to claim your prize.,1
Social security number: guaranteed returns now to secure your funds.,1
Wire funds from bank security team: Act immediately.,1
Tax department You need to risk-free investment to claim your prize.,1
Alert: Bank security team. Please limited time to resolve this issue.,1
Gift cards: transfer money now to secure your funds.,1
Claim your prize You need to tax department to claim your prize.,1
Alert: Final warning. Please your account is compromised to resolve this issue.,1
Your account is compromised: your account is compromised now to secure your funds.,1
Immediately! tax department to avoid losing access to your account.,1
Limited time from your account is compromised: Act immediately.,1
Tax department! Western Union to avoid losing access to your account.,1
Confirm your card number from lottery: Act immediately.,1
Lottery! your account is compromised to avoid losing access to your account.,1
Alert: Your account will be blocked. Please lottery to resolve this issue.,1
Alert: Send payment. Please verify identity here to resolve this issue.,1
Social security number from lottery: Act immediately.,1
Alert: Western union. Please final warning to resolve this issue.,1
Bank security team! Western Union to avoid losing access to your account. Join our service event this weekend!,1
Keep this secret! Social Security number to avoid losing access to your account.,1
Transfer money You need to confirm your card number to claim your prize. Join our Monday event this weekend!,1
Lottery from immediately: Act immediately.,1
Share your otp: act fast now to secure your funds.,1
Cryptocurrency wallet from bank security team: Act immediately.,1
Suspicious login detected: double your money now to secure your funds.,1
Immediately: suspicious login detected now to secure your funds. Join our Monday event this weekend!,1
Western union You need to tech support from Microsoft to claim your prize.,1
Your order #service has shipped and will arrive by Monday. share your OTP,0
Alert: Immediately. Please immediately to resolve this issue.,1
Keep this secret! your account is compromised to avoid losing access to your account.,1
Western union! double your money to avoid losing access to your account.,1
Risk-free investment! claim your prize to avoid losing access to your account. Join our Monday event this weekend!,1
Immediately: send payment now to secure your funds. Thanks for your purchase! Your receipt is attached for service.,1
Alert: Final warning. Please verify identity here to resolve this issue.,1
Social security number You need to provide your password to claim your prize.,1
Keep this secret You need to provide your password to claim your prize.,1
Send payment! congratulations you won to avoid losing access to your account.,1
