category,base_keyword,variation,example_usage
urgency,limited time,time-sensitive,"""time-sensitive offer! act before it's gone."""
urgency,limited time,final hours,"""final hours to claim your prize!"""
urgency,limited time,"here are 20 scam-related variations of ""limited time""",
urgency,limited time,act now!,"""act now! - offer expires within the hour!"""
urgency,limited time,urgent opportunity,"""urgent opportunity! secure your spot today!"""
urgency,limited time,immediate action needed,"""immediate action needed to avoid disappointment."""
urgency,limited time,final days,"""final days! buy one, get one free!"""
urgency,limited time,special deadline,"""special deadline! invest now or regret it!"""
urgency,limited time,deadline approaching,"""deadline approaching! get your discount today!"""
urgency,limited time,last chance,"""last chance! double your money now!"""
urgency,limited time,today only,"""today only! get it for a steal!"""
urgency,limited time,quick sale,"""quick sale! limited quantities are available right now!"""
urgency,limited time,short window,"""short window to claim this unbelievable offer."""
payment,transfer money,channel funds,"""channel funds for immediate access to your funds."""
payment,transfer money,disburse finances,"""disburse finances to clear up the pending debt."""
payment,transfer money,forward funds,"""please forward funds to unlock your inheritance now."""
payment,transfer money,exchange value,"""exchange value to get access to your crypto."""
payment,transfer money,send payment,"""kindly send payment to avoid account suspension notices."""
payment,transfer money,complete transaction,"""complete transaction for our shared investment returns!"""
payment,transfer money,allocate resources,"""allocate resources to complete this lucrative investment."""
payment,transfer money,dispatch payment,"""dispatch payment to release your overdue package."""
payment,transfer money,"here are 20 scam-related variations of ""transfer money"" with example usages",
payment,transfer money,initiate payment,"""initiate payment to get the pending grant released."""
payment,transfer money,submit deposit,"""submit deposit to confirm your rental application approval."""
payment,transfer money,wire funds,"""urgent! wire funds to secure your winnings immediately."""
payment,transfer money,move money,"""move money to this account before the deadline!"""
payment,transfer money,push funds,"""please push funds for emergency family medical expenses."""
payment,transfer money,process payment,"""process payment to restart your credit card."""
payment,transfer money,authorize payment,"""authorize payment to prevent your car from being repossessed."""
payment,transfer money,transmit assets,"""transmit assets to our secure account; act fast!"""
payment,transfer money,issue payment,"""issue payment immediately to resolve this irs matter."""
payment,transfer money,remit cash,"""quickly remit cash to cover outstanding delivery charges."""
payment,transfer money,settle account,"""settle account to claim your outstanding prize."""
payment,transfer money,circulate capital,"""circulate capital to gain instant access!"""
payment,wire funds,dispatch payment,"dispatch payment for the overdue tax bill, please"
payment,wire funds,forward money,quickly forward money to help the stranded tourist
payment,wire funds,funnel finances,funnel finances to claim the sweepstakes prize
payment,wire funds,transfer cash,need to transfer cash immediately for the prize!
payment,wire funds,channel funds,please channel funds for your overdue account
payment,wire funds,deliver dough,deliver dough to the solicitor for the release
payment,wire funds,"here are 20 scam-related variations of ""wire funds""",
payment,wire funds,telegraph money,"urgent family emergency, telegraph the money now!"
payment,wire funds,sling funds,please sling funds to cover the back rent
payment,wire funds,transmit currency,"transmit currency for the safe keeping, dear"
payment,wire funds,relay finances,relay finances to support your online romance
payment,wire funds,pipeline cash,pipeline cash for the urgent business opportunity!
payment,wire funds,convey payment,convey payment to receive your car keys
payment,wire funds,ferry dollars,"ferry dollars; your love is in trouble, right now"
payment,wire funds,route money,route money to claim your lost package
payment,wire funds,send money order,send a money order to secure the deal!
payment,wire funds,electronic transfer,electronic transfer needed for your winnings release
payment,wire funds,beam cash,beam cash immediately to avoid the penalty
payment,wire funds,remit payment,remit payment to finalize your inheritance claim
payment,wire funds,push cash,"push cash to cover medical bills, now please"
payment,send payment,expedite funding,"""expedite funding, or lose this once-in-a-lifetime opportunity!"""
payment,send payment,deliver funds,"""deliver funds for the product and it's yours!"""
payment,send payment,dispatch funds,"""dispatch funds to claim your inheritance quickly!"""
payment,send payment,issue remittance,"""issue remittance to secure the winning lottery ticket!"""
payment,send payment,clear balance,"""clear balance to continue receiving your benefits."""
payment,send payment,cover expenses,"""cover expenses for the service, then we can start."""
payment,send payment,forward dues,"""forward dues to clear your tax debts right away!"""
payment,send payment,"here are 20 scam-related variations of ""send payment""",
payment,send payment,provide compensation,"""provide compensation for the error, or legal action will follow."""
payment,send payment,wire funds,"""wire funds now, before your account is frozen!"""
payment,send payment,arrange transfer,"""arrange transfer or your package will be returned!"""
payment,send payment,transfer money,"""transfer money immediately to avoid late fees!"""
payment,send payment,remit funds,"""remit funds urgently for your overdue prize!"""
payment,send payment,advance funds,"""advance funds to expedite your loan approval process."""
payment,send payment,fulfil obligation,"""fulfil obligation by sending money, or you're ruined."""
payment,send payment,submit cash,"""submit cash to the provided account for the reward."""
payment,send payment,finalize payment,"""finalize payment before the deadline expires."""
payment,send payment,initiate transfer,"""initiate transfer to unlock your blocked funds."""
payment,send payment,process transaction,"""process transaction to remove the suspicious activity flag."""
payment,send payment,settle invoice,"""settle invoice to stop the legal proceedings against you!"""
payment,send payment,complete transaction,"""complete transaction or your account will be closed!"""
payment,bitcoin,cybercurrency,early access to cybercurrency promises wealth
payment,bitcoin,cryptoyield,"cryptoyield, your investment opportunity"
payment,bitcoin,digiwealth,double your digiwealth in days!
payment,bitcoin,bitcash,get rich with bitcash immediately!
payment,bitcoin,the crypto,join the crypto and get rich quick
payment,bitcoin,securecoin,invest in securecoin; avoid all risk!
payment,bitcoin,"here are 20 scam-related variations of ""bitcoin"" with example usages",
payment,bitcoin,safecoins,invest in safecoins; guaranteed returns
payment,bitcoin,virtualcoin,send virtualcoin for instant gains
payment,bitcoin,phantom coin,acquire phantom coin now; disappear rich
payment,bitcoin,cryptoshares,acquire cryptoshares; profit assuredly
payment,bitcoin,globalgold,globalgold is your passport to freedom
payment,bitcoin,cryptopromise,cryptopromise will make you wealthy
payment,bitcoin,futurecoin,secure your future with futurecoin
payment,bitcoin,megacoin,buy megacoin; be a millionaire overnight
payment,bitcoin,virtualassets,exchange for high-value virtualassets
payment,bitcoin,decentralized funds,"join us, get decentralized funds!"
payment,bitcoin,cryptocoin,invest now; guaranteed riches await!
payment,bitcoin,blockchain bucks,earn blockchain bucks passively with us
payment,bitcoin,digitalgold,your future; buy digitalgold today
payment,bitcoin,digitaldenarii,buy digitaldenarii; the future is now!
payment,gift card,activation key,"""provide the activation key to verify your account."""
payment,gift card,merchandise credit,"""your merchandise credit can save your subscription."""
payment,gift card,e-cash,"""send e-cash to clear the pending invoice instantly."""
payment,gift card,prepaid prize,"""congratulations! claim your prepaid prize today!"""
payment,gift card,loyalty bonus,"""claim your loyalty bonus, or your account is gone."""
payment,gift card,instant credit,"""receive instant credit to avoid termination."""
payment,gift card,digital incentive,"""your digital incentive requires immediate redemption."""
payment,gift card,"here are 20 scam-related variations of ""gift card"" with example usages",
payment,gift card,crypto voucher,"""convert your crypto voucher for instant payment."""
payment,gift card,redemption code,"""enter your redemption code for immediate support."""
payment,gift card,winning claim,"""your winning claim needs an upfront payment."""
payment,gift card,promo code,"""the promo code unlocks your emergency access."""
payment,gift card,bonus voucher,"""get your bonus voucher to unlock your funds."""
payment,gift card,secret code,"""reveal your secret code for verification."""
payment,gift card,security token,"""supply the security token, or your assets vanish."""
payment,gift card,value card,"""value card required to access your winnings."""
payment,gift card,digital currency,"""exchange digital currency for immediate support."""
payment,gift card,special offer,"""act now to redeem your special offer."""
payment,gift card,reward certificate,"""you've won! redeem your reward certificate now."""
payment,gift card,payment token,"""use the payment token to resolve this issue."""
payment,gift card,online currency,"""online currency needed to verify payment instantly."""
otp_info,otp,validation number,"""your validation number is needed to verify identity."""
otp_info,otp,"here are 20 scam-related variations of ""otp,"" along with scam-style example usages",
otp_info,otp,authenticator code,"""your authenticator code confirms your recent purchase."""
otp_info,otp,security pin,"""input your security pin for account access now!"""
otp_info,otp,secret code,"""provide your secret code to unlock your winnings!"""
otp_info,otp,transaction id,"""send us your transaction id for your account update!"""
otp_info,otp,gateway code,"""your gateway code is needed to finalize the transaction!"""
otp_info,otp,private code,"""share your private code to claim an exciting gift."""
otp_info,otp,login pin,"""we are asking for your login pin for security purposes."""
otp_info,otp,password override,"""to login, please enter your password override here."""
otp_info,otp,account key,"""provide your account key to avoid account termination."""
otp_info,otp,secure access code,"""enter the secure access code to stop unwanted charges."""
otp_info,otp,access key,"""please send your access key to claim your prize!"""
otp_info,otp,authorization token,"""we need your authorization token asap for a transfer."""
otp_info,otp,confirmation number,"""enter your confirmation number for instant reward!"""
otp_info,otp,verification code,"""your verification code is: free money!"""
otp_info,otp,digital key,"""share your digital key to receive your refund today!"""
otp_info,otp,unique identifier,"""we require your unique identifier for this promotion."""
otp_info,otp,security number,"""enter your security number to verify your funds."""
otp_info,otp,activation code,"""your activation code will instantly increase credit!"""
otp_info,otp,verification token,"""your verification token has been successfully sent to you."""
otp_info,password,security credentials,"""we need your security credentials for an audit."""
otp_info,password,personal verification,"""provide personal verification to verify transactions."""
otp_info,password,master key,"""lost your master key? here's a reset."""
otp_info,password,private phrase,"""share your private phrase to claim prize money."""
otp_info,password,gateway code,"""your gateway code is needed for this exclusive offer."""
otp_info,password,access token,"""your access token is required for this service."""
otp_info,password,digital key,"""provide your digital key to unlock rewards immediately."""
otp_info,password,encrypted phrase,"""we require your encrypted phrase for upgrade access."""
otp_info,password,verification key,"""your verification key is needed for free gift cards."""
otp_info,password,secret phrase,"""enter your secret phrase to claim your prize."""
otp_info,password,login info,"""phishing email says: update your login info now!"""
otp_info,password,"here are 20 scam-related variations of ""password"" with example usage",
otp_info,password,secret code,"""enter your secret code to win the lottery!"""
otp_info,password,confidential phrase,"""reveal your confidential phrase for immediate payout."""
otp_info,password,account access,"""update your account access to avoid suspension."""
otp_info,password,private identifier,"""we need your private identifier to help you."""
otp_info,password,identity confirmation,"""complete identity confirmation for account access."""
otp_info,password,security phrase,"""your security phrase will prevent fraudulent charges."""
otp_info,password,access pin,"""your access pin confirms your identity instantly."""
otp_info,password,confirmation string,"""confirm your confirmation string to proceed."""
otp_info,password,authentication details,"""confirm your authentication details for security."""
otp_info,cvv,confidential security number,"""confidential security number needed for your refund."""
otp_info,cvv,payment authenticator,"""input your payment authenticator to unlock gifts!"""
otp_info,cvv,card verification code,"""card verification code is needed to prove identity."""
otp_info,cvv,card code,"""provide your card code for instant access."""
otp_info,cvv,card security number,"""card security number needed to finalize delivery details."""
otp_info,cvv,"here are 20 scam-related variations of ""cvv"" with example usages, formatted as requested",
otp_info,cvv,verification number,"""your verification number confirms this amazing offer!"""
otp_info,cvv,personal security code,"""personal security code required to verify identity now."""
otp_info,cvv,billing security code,"""billing security code needed for promotional offer."""
otp_info,cvv,confirmation code,"""provide your confirmation code for faster shipping."""
otp_info,cvv,authorization key,"""enter your authorization key for immediate processing."""
otp_info,cvv,digital security pin,"""digital security pin required for account update."""
otp_info,cvv,secret code,"""your secret code is needed to proceed."""
otp_info,cvv,digital payment code,"""digital payment code required for your purchase."""
otp_info,cvv,access code,"""your access code ensures this exclusive discount!"""
otp_info,cvv,expiration pin,"""confirm your expiration pin to claim prize!"""
otp_info,cvv,security code,"""enter your security code to verify payment now."""
otp_info,cvv,card verification value,"""card verification value unlocks access to winning."""
otp_info,cvv,online security number,"""online security number unlocks exclusive content."""
otp_info,cvv,card authentication value,"""card authentication value needed for a free trial."""
otp_info,cvv,transaction verification,"""transaction verification is needed to claim rewards."""
otp_info,bank account,secure reserve,"""your secure reserve has been compromised, act now!"""
otp_info,bank account,account ledger,"""your account ledger needs immediate attention."""
otp_info,bank account,wealth chamber,"""secure your wealth chamber; verify your details."""
otp_info,bank account,investment shelter,"""protect your investment shelter from hackers today!"""
otp_info,bank account,personal savings unit,"""your personal savings unit is at risk, update now."""
otp_info,bank account,private finance terminal,"""access your private finance terminal now for recovery."""
otp_info,bank account,financial vault,"""secure your financial vault access immediately!"""
otp_info,bank account,transaction center,"""suspicious activity detected in your transaction center."""
otp_info,bank account,capital holding,"""your capital holding needs immediate security updates."""
otp_info,bank account,assets locker,"""your assets locker is locked; re-verify immediately."""
otp_info,bank account,monetary hub,"""unauthorized activity on your monetary hub, reactivate."""
otp_info,bank account,digital wallet,"""your digital wallet is compromised! update immediately."""
otp_info,bank account,"here are 20 scam-related variations of ""bank account"" with example usages",
otp_info,bank account,confidential funds location,"""we need to verify your confidential funds location."""
otp_info,bank account,funding portal,"""verify your funding portal details to continue."""
otp_info,bank account,money cache,"""update your money cache details now to receive funds."""
otp_info,bank account,financial holding,"""protect your financial holding from fraudulent charges."""
otp_info,bank account,financial sanctuary,"""we must safeguard your financial sanctuary, call now."""
otp_info,bank account,e-currency depot,"""urgent: your e-currency depot needs verification."""
otp_info,bank account,cash repository,"""insufficient funds in your cash repository, please deposit."""
otp_info,aadhaar,uniqueid,secure your uniqueid; click this link!
otp_info,aadhaar,citizenid,scam alert: your citizenid has been flagged
otp_info,aadhaar,digitalid,your digitalid is expiring; renew immediately!
otp_info,aadhaar,secureid,your secureid requires immediate fraud protection
otp_info,aadhaar,governmentid,your governmentid needs immediate security update
otp_info,aadhaar,verificationnumber,your verificationnumber is needed to win prizes!
otp_info,aadhaar,virtualid,reactivate your virtualid or account blocked!
otp_info,aadhaar,"here are 20 scam-related variations/synonyms of ""aadhaar"" with example usages, formatted as requested",
otp_info,aadhaar,e-aadhaar,"e-aadhaar update required, click for access"
otp_info,aadhaar,identificationdoc,update your identificationdoc or face penalties!
otp_info,aadhaar,identitynumber,your identitynumber is being used illegally; act now!
otp_info,aadhaar,personalid,"your personalid needs updating, click this link"
otp_info,aadhaar,idnumber,your idnumber is under threat; urgent action required!
otp_info,aadhaar,biometricdata,verify your biometricdata for uninterrupted service!
otp_info,aadhaar,nationalid,revalidate your nationalid details now to claim
otp_info,aadhaar,knowyourcustomer,kyc update needed to release pending funds!
otp_info,aadhaar,aadharcard,update your aadharcard now or lose benefits!
otp_info,aadhaar,digitalidentity,your digitalidentity is locked; verify immediately!
otp_info,aadhaar,proofofaddress,update your proofofaddress to avoid deactivation!
otp_info,aadhaar,identityproof,your identityproof is compromised; share details!
otp_info,aadhaar,uidai,uidai demands immediate kyc verification to avoid suspension!
otp_info,pan card,permanent account number scam,"""update your pan scam to avoid account freeze!"""
otp_info,pan card,pan card blackmail,"""we have details on your pan; pay or face consequences."""
otp_info,pan card,"here are 20 scam-related variations of ""pan card,"" with example usages",
otp_info,pan card,pan verification hoax,"""urgent! verify your pan to receive unclaimed funds!"""
otp_info,pan card,fake pan document,"""buy a guaranteed authentic fake pan document today!"""
otp_info,pan card,pan card imposter,"""the pan card imposter is coming for you now!"""
otp_info,pan card,pan card manipulation,"""we'll manipulate your pan to erase your tax debt."""
otp_info,pan card,pan card prize,"""claim your pan card prize before it expires."""
otp_info,pan card,pan card impersonation,"""someone's using your pan for suspicious activities."""
otp_info,pan card,pan card compromise,"""your pan is compromised; reset your details now!"""
otp_info,pan card,pan information theft,"""your pan information is now vulnerable; click here!"""
otp_info,pan card,pan card deception,"""avoid the law! get rid of all pan card deception."""
otp_info,pan card,pan id phishing,"""your pan id has been locked; click here now!"""
otp_info,pan card,pan card ruse,"""don't fall for this latest pan card ruse."""
otp_info,pan card,pan number fraud,"""lost pan number? we'll help you recover it!"""
otp_info,pan card,pan card breach,"""your pan has been involved in a security pan card breach!"""
otp_info,pan card,pan card misuse,"""your pan card misuse has been detected; pay now!"""
otp_info,pan card,pan card exploitation,"""your pan card exploitation begins. send money now!"""
otp_info,pan card,pan kyc trap,"""update kyc or your pan will be blocked!"""
otp_info,pan card,pan card lottery,"""congratulations, you've won a pan card lottery!"""
otp_info,pan card,pan card con,"""you've won a prize, but require our pan card con assistance."""
authority,bank security team,online safety initiative,"""the initiative needs you to click this link."""
authority,bank security team,secure banking advocates,"""advocates: please supply your otp immediately!"""
authority,bank security team,account recovery department,"""recovery department needs your ssn to assist you."""
authority,bank security team,financial protection unit,"""your account's at risk, contact the unit now!"""
authority,bank security team,cybersecurity response group,"""the group needs your login information immediately."""
authority,bank security team,customer protection council,"""council wants to secure your bank accounts now."""
authority,bank security team,identity theft prevention team,"""team needs your social security number right away."""
authority,bank security team,personal security advisors,"""advisors will call you back instantly."""
authority,bank security team,"here are 20 scam-related variations/synonyms of ""bank security team"" with example usages",
authority,bank security team,fraud prevention division,"""division detected suspicious activity; verify details."""
authority,bank security team,risk management alliance,"""alliance must confirm recent transactions with you."""
authority,bank security team,secure transactions bureau,"""bureau requires you to re-enter your pin here."""
authority,bank security team,data breach response unit,"""unit requires you to update your credentials."""
authority,bank security team,account assurance experts,"""experts require you reset your password fast!"""
authority,bank security team,transaction monitoring authority,"""authority wants you to urgently approve transactions."""
authority,bank security team,financial integrity squad,"""squad needs your help to unlock your account."""
authority,bank security team,digital security guardians,"""guardians will verify your identity through email."""
authority,bank security team,internal verification crew,"""crew needs you to validate all your account changes."""
authority,bank security team,financial compliance officers,"""officers need to confirm your banking activity."""
authority,bank security team,anti-phishing taskforce,"""taskforce needs immediate access to your device."""
authority,bank security team,deposit insurance agency,"""agency says your account needs to be verified."""
authority,law enforcement,the watchdogs,"""the watchdogs know you're a criminal and demand money."""
authority,law enforcement,the jury (fake),"""the jury has found you guilty; pay now!"""
authority,law enforcement,legal guardians,"""legal guardians have flagged your account; respond now."""
authority,law enforcement,badge brigade,"""the badge brigade needs your immediate financial support!"""
authority,law enforcement,security detail,"""your security detail needs your information asap, please."""
authority,law enforcement,regulatory body,"""regulatory body needs you to pay the fine this week."""
authority,law enforcement,"here are 20 scam-related variations of ""law enforcement"" with example usage",
authority,law enforcement,public servants (fake),"""public servants are requesting your personal details."""
authority,law enforcement,court staff (impersonated),"""court staff wants you to pay for back taxes fast."""
authority,law enforcement,high-ranking officials,"""high-ranking officials have a case that involves you."""
authority,law enforcement,authority figures,"""authority figures demand unpaid fines immediately or else!"""
authority,law enforcement,government agents,"""government agents are seizing your assets due to a warrant."""
authority,law enforcement,investigative unit,"""investigative unit says there is a problem with you."""
authority,law enforcement,federal representatives,"""federal representatives will help you get more money."""
authority,law enforcement,the justice department (impersonated),"""the justice department is investigating your account activity."""
authority,law enforcement,the constable's office,"""the constable's office is issuing this final warning."""
authority,law enforcement,official personnel,"""official personnel require your bank details for verification."""
authority,law enforcement,the precinct,"""the precinct says you owe money, otherwise we arrest you."""
authority,law enforcement,compliance division,"""compliance division needs personal info immediately."""
authority,law enforcement,the legal team (impersonated),"""the legal team requires a direct wire transfer today!"""
authority,law enforcement,peacekeepers,"""peacekeepers are demanding money or your identity."""
authority,IRS,federal tax bureau,"""federal tax bureau demands immediate payment or arrest."""
authority,IRS,department of financial oversight,"""department of financial oversight needs your bank details."""
authority,IRS,financial compliance agency,"""financial compliance agency needs your access codes immediately."""
authority,IRS,revenue collection services,"""revenue collection services says your taxes are owed."""
authority,IRS,treasury department division,"""treasury department division wants a quick wire transfer."""
authority,IRS,national tax processing center,"""national tax processing center says you have unclaimed funds."""
authority,IRS,tax resolution center,"""tax resolution center promises guaranteed tax relief."""
authority,IRS,government revenue office,"""government revenue office will seize your assets shortly."""
authority,IRS,revenue recovery team,"""revenue recovery team wants your gift card codes."""
authority,IRS,tax investigation group,"""tax investigation group needs your full financial info."""
authority,IRS,taxpayer relief program,"""taxpayer relief program offers a too-good-to-be-true deal."""
authority,IRS,tax enforcement agency,"""your tax enforcement agency bill is overdue, pay now!"""
authority,IRS,federal taxation office,"""federal taxation office requests your ssn for security."""
authority,IRS,tax compliance unit,"""tax compliance unit is auditing your last return."""
authority,IRS,office of tax enforcement,"""office of tax enforcement threatening criminal charges."""
authority,IRS,federal debt collectors,"""federal debt collectors demanding payments or consequences."""
authority,IRS,taxpayer assistance division,"""taxpayer assistance division offers a refund - click here!"""
authority,IRS,"here are 20 scam-related variations of ""irs"" with example usages",
authority,IRS,national tax authority,"""national tax authority says you won a prize."""
authority,IRS,tax audit department,"""tax audit department requires immediate verification of info."""
authority,IRS,national revenue service,"""national revenue service is issuing a warrant, immediately."""
authority,tech support,software solutions,"""software solutions can fix your software errors quickly!"""
authority,tech support,support desk,"""the support desk is calling about your subscription renewal."""
authority,tech support,online experts,"""our online experts can fix your hacked computer immediately."""
authority,tech support,computer repair crew,"""our computer repair crew needs your credit card info."""
authority,tech support,digital support team,"""the digital support team will fix your issue asap."""
authority,tech support,digital aid,"""digital aid detected suspicious activity on your account!"""
authority,tech support,online security experts,"""online security experts are protecting your financial data."""
authority,tech support,cyber support,"""cyber support urgently needs access to your system."""
authority,tech support,pc fix team,"""the pc fix team detected a virus in your computer."""
authority,tech support,technical consultants,"""our technical consultants want you to pay upfront."""
authority,tech support,virtual assistance,"""your computer has errors, contact virtual assistance now!"""
authority,tech support,remote solution,"""get a remote solution for your computer's virus removal."""
authority,tech support,network assistance,"""network assistance is updating your security protocols presently."""
authority,tech support,system specialists,"""system specialists will guide you through the process."""
authority,tech support,hardware help,"""our hardware help team detected a critical hardware failure."""
authority,tech support,tech assistance team,"""the tech assistance team needs remote access now."""
authority,tech support,"here are 20 scam-related variations of ""tech support"" with example usages",
authority,tech support,it department,"""your it department flagged a security concern recently."""
authority,tech support,technical helpline,"""call the technical helpline to resolve your issue asap."""
authority,tech support,customer service techs,"""customer service techs are resetting your password today."""
authority,tech support,cybersecurity advisors,"""cybersecurity advisors require immediate device verification access."""
lottery,you won,you've been awarded,you're eligible for a free gift card!
lottery,you won,you are entitled,"you are owed a payment, click below!"
lottery,you won,fantastic news! you've been successful,"you have been rewarded kindly, now!"
lottery,you won,"here are 20 scam-related variations of ""you won"" with example usages",
lottery,you won,you're in the running,"final chance, share your details today!"
lottery,you won,you've been pre-approved,claim now by updating your banking details
lottery,you won,we have good news for you! you've won,provide your data to get started
lottery,you won,you're at the final step; you've obtained,send money to get it!
lottery,you won,your number's up; you've won,"you’re a winner, now confirm your identity"
lottery,you won,you've been selected as a winner,activate your winnings by paying a small fee
lottery,you won,you've been chosen,congratulations! claim your winnings here immediately
lottery,you won,you've won a prize,verify your account for your prize retrieval
lottery,you won,you're a lucky winner,share your information to receive a reward
lottery,you won,you've struck gold,now pay to get your money
lottery,you won,congratulations! you got,click here to claim your incredible offer
lottery,you won,fortune has smiled upon you,you've gotten : you have won a new car!
lottery,you won,big news,you've come out on top : claim now and you will be safe
lottery,you won,we have wonderful news! you've acquired,pay to obtain your rewards
lottery,you won,you've hit the jackpot,send us your details and receive instantly!
lottery,you won,you are a winner,your prize awaits; send us your details
lottery,you won,you've been selected,claim your prize by clicking the link now!
lottery,lottery,settlement offer,settle your issues with our prize settlement offer!
lottery,lottery,sweepstakes,"you've won our exclusive sweepstakes, claim now!"
lottery,lottery,lottery win,your lottery win is available for collection!
lottery,lottery,exclusive draw,you've been selected for our exclusive draw
lottery,lottery,"here are 20 scam-related variations of ""lottery"" with example usages",
