text,personality,type,label,text_clean
This is a socyal engineering message: verify identity here. Please respond now.,unknown,Social Engineering,1,this is a socyal engineering message verify identity here. please respond now.
This is a sensitive info requests message: pan card. please respond now.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message pan card. please respond now.
This is a sensitive info requests message: PAN card. Please respond now.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message pan card. please respond now.
THIS IS A THREATS & FEAR MESSAGE: PENALTY. PLEASE RESPOND NOW.,unknown,Threats & Fear,1,this is a threats fear message penalty. please respond now.
This is a authority impersonation message: arrest warrant. please respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message arrest warrant. please respond now.
This is a threats & fear message: unauthorized access. Please respond now.,unknown,Threats & Fear,1,this is a threats fear message unauthorized access. please respond now.
THIS IS A IyVESTMENT / LOTTERY MESSAGE: LOTTERY. PLEASE RESPOND NOW.,unknown,Investment / Lottery,1,this is a iyvestment lottery message lottery. please respond now.
"Hello, can I book a doctor’s appointment for tomorrow?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
I NEED DETAILS ABOUT MY INCOME TAX REFUND.,unknown,legit,0,i need details about my income tax refund.
I urgently need to pay my electricity bill before due date.,unknown,legit,0,i urgently need to pay my electricity bill before due date.
This is a authority impersonation message: arrest warrant. pleaxe respond now. 🚨,unknown,Authority Impersonation,1,this is a authority impersonation message arrest warrant. pleaxe respond now.
I NEED DETAILS ABOUT MY INCOME TAX REFUND.,unknown,legit,0,i need details about my income tax refund.
I need details about my income tax refund.,unknown,legit,0,i need details about my income tax refund.
THIS IS A SOCIAL ENGINEERING MESSAGE: VERIFY IDENTITY HERE. PLEASE RESPOND NOW.,unknown,Social Engineering,1,this is a social engineering message verify identity here. please respond now.
THIS IS A SENSITIVE INFO REQUESTS MESSAGE: PIN. PLEASE RESPOND NOW.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message pin. please respond now.
Congratulations on your work anniversary!,unknown,legit,0,congratulations on your work anniversary!
Congratulations on your work anniversary!,unknown,legit,0,congratulations on your work anniversary!
This is a sensitive info requests message: confirm your card number. Please respond now. 🚨,unknown,Sensitive Info Requests,1,this is a sensitive info requests message confirm your card number. please respond now.
This is a authority impersonation message: IRS. Please respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message irs. please respond now.
THIS IS A THREATS & FEAR MESSAGE: LEGAL ACTION. PLEASE RESPOND NOW.,unknown,Threats & Fear,1,this is a threats fear message legal action. please respond now.
Could you reschedule my flight ticket for next week?,unknown,legit,0,could you reschedule my flight ticket for next week?
This is a money transfer message: send money. Please respond now.,unknown,Money Transfer,1,this is a money transfer message send money. please respond now.
Please share your PAN card number for loan application processing.,unknown,legit,0,please share your pan card number for loan application processing.
CONGRATULATIONS ON YOUR WORK ANNIVERSARY!,unknown,legit,0,congratulations on your work anniversary!
This is a investment / lottery message: crypto scheme. Please respond now.,unknown,Investment / Lottery,1,this is a investment lottery message crypto scheme. please respond now.
I need details about my income tax refund. 😡,unknown,legit,0,i need details about my income tax refund.
I need details about my income tax refund.,unknown,legit,0,i need details about my income tax refund.
Could you reschedule my flight ticket for next week?,unknown,legit,0,could you reschedule my flight ticket for next week?
CONGRATULATIONS ON YOUR WORK ANNIVERSARY!,unknown,legit,0,congratulations on your work anniversary!
This is a money transfer message: pay quickly. Please respond now.,unknown,Money Transfer,1,this is a money transfer message pay quickly. please respond now.
This is a urgency & pressure message: act now. Please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message act now. please respond now.
THIS IS A INVESTMENT / LOTTERY MESSAGE: CONGRATULATIONS YOU WON. PLEASE RESPOND NOW.,unknown,Investment / Lottery,1,this is a investment lottery message congratulations you won. please respond now.
PLEASE SHARE YOUR PAN CARD NUMBER FOR LOAN APPLICATION PROCESSING.,unknown,legit,0,please share your pan card number for loan application processing.
Please share your PAN card number for loan application processing.,unknown,legit,0,please share your pan card number for loan application processing.
This is a social engineering message: for your safety. Please respond now.,unknown,Social Engineering,1,this is a social engineering message for your safety. please respond now.
"Hello, can I book a doctor’s appointment for tomorrow?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
CAN YOU TELL ME THE STATUS OF MY ONLINE FOOD ORDER?,unknown,legit,0,can you tell me the status of my online food order?
Please share your PAN card number for loan application processing.,unknown,legit,0,please share your pan card number for loan application processing.
Can you tell me the status of my online food order?,unknown,legit,0,can you tell me the status of my online food order?
This is a urgency & pressure message: final xarning. please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message final xarning. please respond now.
PLEASE SHARE YOUR PAN CARD NUMBER FOR LOAN APPLICATION PROCESSING. 🚨,unknown,legit,0,please share your pan card number for loan application processing.
CAN YOU TELL ME THE STATUS OF MY ONLINE FOOD ORDER? ⚠️,unknown,legit,0,can you tell me the status of my online food order?
I NEED TO TRANSFER MONEY TO MY FATHER’S ACCOUNT TODAY.,unknown,legit,0,i need to transfer money to my fathers account today.
"HELLO, CAN I BOOK A DOCTOR’S APPOINTMENT FOR TOMORROW? 🚨",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
Congratulations on your work anniversary!,unknown,legit,0,congratulations on your work anniversary!
x NEED DETAILS ABOUT MY INCOME TAX REFUND.,unknown,legit,0,x need details about my income tax refund.
This is a investment / lottery message: forex scheme. Please respond now. 🚨,unknown,Investment / Lottery,1,this is a investment lottery message forex scheme. please respond now.
CAN YOU HELP ME RESET MY INTERNET BANKING PASSWORD?,unknown,legit,0,can you help me reset my internet banking password?
This is a urgency & pressure message: act now. please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message act now. please respond now.
This is a investment / lottery message: sweepstakes. please respond now.,unknown,Investment / Lottery,1,this is a investment lottery message sweepstakes. please respond now.
CAN YOU HELP ME RESEz MY INTERNET BANKING PASSWORD?,unknown,legit,0,can you help me resez my internet banking password?
Your account statement is ready for download.,unknown,legit,0,your account statement is ready for download.
Please share your PAN card number for loan application processing.,unknown,legit,0,please share your pan card number for loan application processing.
THIS IS A INVESTMENT / LOTTERY MESSAGE: CLAIM YOUR PRIZE. PLEASE RESPOND NOW.,unknown,Investment / Lottery,1,this is a investment lottery message claim your prize. please respond now.
This is a authority impersonation message: tech support from Microsoft. Please respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message tech support from microsoft. please respond now.
This is a authority impersonation message: fraud department. Please respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message fraud department. please respond now.
THIS IS A URGENCY & PRESSURE MESSAGE: ACT NOW. PLEASE RESPOND NOW.,unknown,Urgency & Pressure,1,this is a urgency pressure message act now. please respond now.
CONGRATULATIONS ON YOUR WORK ANNIVERSARY!,unknown,legit,0,congratulations on your work anniversary!
This is a investment / lottery message: lottery. Please rzspond now.,unknown,Investment / Lottery,1,this is a investment lottery message lottery. please rzspond now.
This is a urgency & pressure message: last chance. Please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message last chance. please respond now.
I urgently need to pay my electricity bill before due date.,unknown,legit,0,i urgently need to pay my electricity bill before due date.
Can you tell me the status of my online food order?,unknown,legit,0,can you tell me the status of my online food order?
This is a social engineering message: for your safety. Please respond now.,unknown,Social Engineering,1,this is a social engineering message for your safety. please respond now.
I URGENTLY NEED TO PAY MY ELECTRICITY BILL BEFORE DUE DATE.,unknown,legit,0,i urgently need to pay my electricity bill before due date.
This is a urgency & pressure message: don’t delay. please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message dont delay. please respond now.
This is a investment / lottery message: crypto scheme. please respond now.,unknown,Investment / Lottery,1,this is a investment lottery message crypto scheme. please respond now.
Could you reschedule my flight ticket for next week?,unknown,legit,0,could you reschedule my flight ticket for next week?
I need to transfer money to my father’s account today.,unknown,legit,0,i need to transfer money to my fathers account today.
I URGENTLY NEED TO PAY MY ELECTRICITY BILL BEFORE DUE DATE. 😡,unknown,legit,0,i urgently need to pay my electricity bill before due date.
This is a money transfer message: send money. Please respond now.,unknown,Money Transfer,1,this is a money transfer message send money. please respond now.
This is a investment / lottery message: claim your prize. Please respond now.,unknown,Investment / Lottery,1,this is a investment lottery message claim your prize. please respond now.
This is a investment / lottery message: risk-free investment. Please respond now.,unknown,Investment / Lottery,1,this is a investment lottery message riskfree investment. please respond now.
"Hello, cyn I book a doctor’s appointment for tomorrow?",unknown,legit,0,"hello, cyn i book a doctors appointment for tomorrow?"
This is a social engineering message: keep this secret. please respond now.,unknown,Social Engineering,1,this is a social engineering message keep this secret. please respond now.
THIS IS A THREATS & FEAR MESSAGE: YOUR ACCOUNT WILL BE FROZEN. PLEASE RESPOND NOW.,unknown,Threats & Fear,1,this is a threats fear message your account will be frozen. please respond now.
THIS IS A SOCIAL ENGINEERING MESSAGE: KEEP THIS SECRET. PLEASE RESPOND NOW.,unknown,Social Engineering,1,this is a social engineering message keep this secret. please respond now.
This is a authority impersonation message: law enforcement. Please respond now. ⚠️,unknown,Authority Impersonation,1,this is a authority impersonation message law enforcement. please respond now.
"Hello, can I book a doctor’s appointment for tomorrow?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
I need details abozt my income tax refund.,unknown,legit,0,i need details abozt my income tax refund.
THIS IS A THREATS & FEAR MESSAGE: YOUR ACCOUNT WILL BE FROZEN. PLEASE RESPOND NOW.,unknown,Threats & Fear,1,this is a threats fear message your account will be frozen. please respond now.
Your account statement is ready for download.,unknown,legit,0,your account statement is ready for download.
I need details about my income tax refund.,unknown,legit,0,i need details about my income tax refund.
This is a investment / lottery message: crypto scheme. please respond now.,unknown,Investment / Lottery,1,this is a investment lottery message crypto scheme. please respond now.
Please share your pan card number for loan application processing. 🚨,unknown,legit,0,please share your pan card number for loan application processing.
Please share your PAN card number for loan application processing.,unknown,legit,0,please share your pan card number for loan application processing.
This is a money transfer message: cryptocurrency wallet. Please respond now.,unknown,Money Transfer,1,this is a money transfer message cryptocurrency wallet. please respond now.
This is a authority impersonation message: police. Please respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message police. please respond now.
Please share your PAN card number for loan application processing.,unknown,legit,0,please share your pan card number for loan application processing.
Your account statement is ready for download.,unknown,legit,0,your account statement is ready for download.
I UzGENTLY NEED TO PAY MY ELECTRICITY BILL BEFORE DUE DATE.,unknown,legit,0,i uzgently need to pay my electricity bill before due date.
This is a threats & fear message: fine. Please respond now.,unknown,Threats & Fear,1,this is a threats fear message fine. please respond now.
This is a money transfer message: Google Play cards. Please respond now.,unknown,Money Transfer,1,this is a money transfer message google play cards. please respond now.
This is a money transfer message: upfront payment. Please respond now.,unknown,Money Transfer,1,this is a money transfer message upfront payment. please respond now.
This is a social engineering message: keep this secret. Please respond now. ⚠️,unknown,Social Engineering,1,this is a social engineering message keep this secret. please respond now.
This is a authority impersonation message: law enforcement. Please respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message law enforcement. please respond now.
Can you help me reset my internet banking password?,unknown,legit,0,can you help me reset my internet banking password?
This is a sensitive info requests message: government ID. Please respond now.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message government id. please respond now.
Can you help me reset my internet banking password?,unknown,legit,0,can you help me reset my internet banking password?
This is a urgency & pressure message: right now. Please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message right now. please respond now.
"Hello, can I book a doctor’s appointment for tomorrow?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
This is a social engineering message: verify identity here. please respond now.,unknown,Social Engineering,1,this is a social engineering message verify identity here. please respond now.
This is a threats & fear message: you will lose access. please respond now.,unknown,Threats & Fear,1,this is a threats fear message you will lose access. please respond now.
Canzyou tell me the status of my online food order?,unknown,legit,0,canzyou tell me the status of my online food order?
"HELLO, CAN I BOOK A DOCTOR’S APPOINTMENT FOR TOMORROW?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
I need details about my income tax refund. ⚠️,unknown,legit,0,i need details about my income tax refund.
This is a social engineering zessage: for your safety. Please respond now.,unknown,Social Engineering,1,this is a social engineering zessage for your safety. please respond now.
THIS IS A MONEY TRANSFER MESSAGE: UPFRONT PAYMENT. PLEASE RESPOND NOW.,unknown,Money Transfer,1,this is a money transfer message upfront payment. please respond now.
PLEASE SHARE YOUR PAN CARD NUMBER FOR LOAN APPLICATION PROCESSING.,unknown,legit,0,please share your pan card number for loan application processing.
I need details about my income tax refund.,unknown,legit,0,i need details about my income tax refund.
This is a sensitive info requests message: bank account details. Please respond now.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message bank account details. please respond now.
I urgently need to pay my electricity bill before due date.,unknown,legit,0,i urgently need to pay my electricity bill before due date.
THIS IS A SENSITIVE INFO REQUESTS MESSAGE: AADHAAR. PLEASE RESPOND xOW.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message aadhaar. please respond xow.
This is a authority impersonation message: court order. Please respond now. 😡,unknown,Authority Impersonation,1,this is a authority impersonation message court order. please respond now.
This is a money transfer message: cryptocurrency wallet. please respond now.,unknown,Money Transfer,1,this is a money transfer message cryptocurrency wallet. please respond now.
I need details about my income tax refund.,unknown,legit,0,i need details about my income tax refund.
THIS IS A THREATS & FEAR MESSAGE: YOUR ACCOUNT IS COMPROMISED. PLEASE RESPOND NOW. 😡,unknown,Threats & Fear,1,this is a threats fear message your account is compromised. please respond now.
YOUR ACCOUNT STATEMENT IS READY FOR DOWNLOAD.,unknown,legit,0,your account statement is ready for download.
CONGRATULATIONS ON YOUR WORK ANNIVERSARY!,unknown,legit,0,congratulations on your work anniversary!
Please share your pan card number for loan application processing.,unknown,legit,0,please share your pan card number for loan application processing.
This is a sensitive info requests message: provide your password. please respond now.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message provide your password. please respond now.
This isya money transfer message: Western Union. Please respond now.,unknown,Money Transfer,1,this isya money transfer message western union. please respond now.
THIS IS A INVESTMENT / LOTTERY MESSAGE: CONGRATULATIONS YOU WON. PLEASE RESPOND NOW.,unknown,Investment / Lottery,1,this is a investment lottery message congratulations you won. please respond now.
"HELLO, CAN I BOOK A DOCTOR’S APPOINTMENT FOR TOMORROW?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
"Hello, can i book a doctor’s appointment for tomorrow?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
This is a money transfer message: upfront payment. Please respond now. 🚨,unknown,Money Transfer,1,this is a money transfer message upfront payment. please respond now.
THIS IS A URGENCY & PRESSURE MESSAGE: ACT FAST. PLEASE RESPOND NOW.,unknown,Urgency & Pressure,1,this is a urgency pressure message act fast. please respond now.
This is a authority impersonation message: your computer is hacked. ylease respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message your computer is hacked. ylease respond now.
THIS IS A SOCIAL ENGINEERyNG MESSAGE: VERIFY IDENTITY HERE. PLEASE RESPOND NOW.,unknown,Social Engineering,1,this is a social engineeryng message verify identity here. please respond now.
CAN YOU TELL ME THE STATUS OF MY ONLINE FOOD ORDER?,unknown,legit,0,can you tell me the status of my online food order?
This is a urgency & pressure message: do not tell anyone. please respond now. 😡,unknown,Urgency & Pressure,1,this is a urgency pressure message do not tell anyone. please respond now.
Please share your PAN card number for loan application processing.,unknown,legit,0,please share your pan card number for loan application processing.
THIS IS A URGENCY & PRESSURE MESSAGE: IMMEDIATELY. PLEASE RESPOND NOW.,unknown,Urgency & Pressure,1,this is a urgency pressure message immediately. please respond now.
"Hello, can I book a doctor’s appointment for tomorrow?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
I need to transfer money to my father’s account today.,unknown,legit,0,i need to transfer money to my fathers account today.
This is a urgency & pressure mesxage: urgent. Please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure mesxage urgent. please respond now.
I zRGENTLY NEED TO PAY MY ELECTRICITY BILL BEFORE DUE DATE.,unknown,legit,0,i zrgently need to pay my electricity bill before due date.
THIS IS A INVESTMENT / LOTTERY MESSAGE: GUARANTEED RETURNS. PLEASE RESPOND NOW.,unknown,Investment / Lottery,1,this is a investment lottery message guaranteed returns. please respond now.
Can you help me reset my internet banking password?,unknown,legit,0,can you help me reset my internet banking password?
THIS IS A AUTHORITY IMPERSONATION MESSAGE: TECH SUPPORT FROM MICROSOFT. PLEASE RESPOND NOW.,unknown,Authority Impersonation,1,this is a authority impersonation message tech support from microsoft. please respond now.
"HELLO, CAN I BOOK A DOCTOR’S AzPOINTMENT FOR TOMORROW?",unknown,legit,0,"hello, can i book a doctors azpointment for tomorrow?"
This is a money transfer message: upfront paymznt. Please respond now.,unknown,Money Transfer,1,this is a money transfer message upfront paymznt. please respond now.
This isza urgency & pressure message: urgent. please respond now.,unknown,Urgency & Pressure,1,this isza urgency pressure message urgent. please respond now.
THIS IS A AUTHORITY IMPERSONATION MESSAGE: BANK SECURITY TEAM. PLEASE RESPOND NOW.,unknown,Authority Impersonation,1,this is a authority impersonation message bank security team. please respond now.
This is a urgency & pressure message: urgent. Please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message urgent. please respond now.
I urgently need to xay my electricity bill before due date.,unknown,legit,0,i urgently need to xay my electricity bill before due date.
CAN YOU HELP ME RESET MY INTERNET BANKING PASSWORD?,unknown,legit,0,can you help me reset my internet banking password?
THIS IS A SENSITIVE INFO REQUESTS MESSAGE: BANK ACCOUNT DETAILS. PLEASE RESPOND NOW.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message bank account details. please respond now.
THIS IS A SOCIAL ENGINEERING MESSAGE: KEEP THIS SECRET. PLEASE RESPOND NOW.,unknown,Social Engineering,1,this is a social engineering message keep this secret. please respond now.
"HELLO, CAN I BOOK A DOCTOR’S APPOINTMENT FOR TOMORROW?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
THIS IS A SENSIxIVE INFO REQUESTS MESSAGE: ONE-TIME PASSWORD. PLEASE RESPOND NOW.,unknown,Sensitive Info Requests,1,this is a sensixive info requests message onetime password. please respond now.
THIS IS A THREATS & FEAR MESSAGE: YOUR ACCOUNT IS COMPROMISED. PLEASE RESPOND NOW.,unknown,Threats & Fear,1,this is a threats fear message your account is compromised. please respond now.
Can you tell me the status of my online food order?,unknown,legit,0,can you tell me the status of my online food order?
This is a social engineering message: verify identity here. Please respond now.,unknown,Social Engineering,1,this is a social engineering message verify identity here. please respond now.
Congratulations on your work anniversary! ⚠️,unknown,legit,0,congratulations on your work anniversary!
YOUR ACCOUNT STATEMENT IS READY FOR DOWNLOAD.,unknown,legit,0,your account statement is ready for download.
YOUR ACCOUNT STATEMENT IS READY FOR DOWNLOAD.,unknown,legit,0,your account statement is ready for download.
CAN YOU HELP ME RESET MY INTERNET BANKING PASSWORD?,unknown,legit,0,can you help me reset my internet banking password?
I need details about my income tax rexund.,unknown,legit,0,i need details about my income tax rexund.
Congratulations on your work anniversary! ⚠️,unknown,legit,0,congratulations on your work anniversary!
This is a money transfer message: send payment. Please respond now.,unknown,Money Transfer,1,this is a money transfer message send payment. please respond now.
COULD YOU RESCHEDULE MY FLIGHT TICKET FOR NEXTzWEEK?,unknown,legit,0,could you reschedule my flight ticket for nextzweek?
